name,class_name,jar_path,function_name,synthesis_result,final_status,error_summary
Bangalore2,Bangalore2,/home/benchmarking/termination-crafted/Bangalore-2/Bangalore2.jar,loop,Yes,Verified OK,
Bangalorev4,Bangalorev4,/home/benchmarking/termination-crafted/Bangalore_v4/Bangalorev4.jar,loop,Yes,Verified OK,
Benghazi,Benghazi,/home/benchmarking/termination-crafted/Benghazi/Benghazi.jar,loop,No,LLM MaxFail,
Benghazinondet2,Benghazinondet2,/home/benchmarking/termination-crafted/Benghazi_nondet-2/Benghazinondet2.jar,loop,Yes,Verified OK,
Cairo,Cairo,/home/benchmarking/termination-crafted/Cairo/Cairo.jar,loop,Yes,Verified OK,
Cairostep21,Cairostep21,/home/benchmarking/termination-crafted/Cairo_step2-1/Cairostep21.jar,loop,Yes,Verified OK,
Collatzbounded,Collatzbounded,/home/benchmarking/termination-crafted/Collatz_bounded/Collatzbounded.jar,loop,No,LLM MaxFail,
Copenhagen,Copenhagen,/home/benchmarking/termination-crafted/Copenhagen/Copenhagen.jar,loop,Yes,Verified OK,
Copenhagendisj2,Copenhagendisj2,/home/benchmarking/termination-crafted/Copenhagen_disj-2/Copenhagendisj2.jar,loop,Yes,Verified OK,
Gothenburg1,Gothenburg1,/home/benchmarking/termination-crafted/Gothenburg-1/Gothenburg1.jar,loop,Yes,Verified OK,
Gothenburgv21,Gothenburgv21,/home/benchmarking/termination-crafted/Gothenburg_v2-1/Gothenburgv21.jar,loop,No,LLM MaxFail,
LobnyaBooleanReordered2,LobnyaBooleanReordered2,/home/benchmarking/termination-crafted/Lobnya-Boolean-Reordered-2/LobnyaBooleanReordered2.jar,loop,Yes,Verified OK,
McCarthy91Iteration,McCarthy91Iteration,/home/benchmarking/termination-crafted/McCarthy91_Iteration/McCarthy91Iteration.jar,loop,Yes,Verified OK,
MenloPark,MenloPark,/home/benchmarking/termination-crafted/MenloPark/MenloPark.jar,loop,No,LLM MaxFail,
Mysore2,Mysore2,/home/benchmarking/termination-crafted/Mysore-2/Mysore2.jar,loop,Yes,Verified OK,
Nyala2lex2,Nyala2lex2,/home/benchmarking/termination-crafted/Nyala-2lex-2/Nyala2lex2.jar,loop,Yes,Verified OK,
Parallel,Parallel,/home/benchmarking/termination-crafted/Parallel/Parallel.jar,loop,Yes,Verified OK,
Piecewise,Piecewise,/home/benchmarking/termination-crafted/Piecewise/Piecewise.jar,loop,Yes,Verified OK,
Pure2Phase1,Pure2Phase1,/home/benchmarking/termination-crafted/Pure2Phase-1/Pure2Phase1.jar,loop,Yes,Verified OK,
Pure3Phase1,Pure3Phase1,/home/benchmarking/termination-crafted/Pure3Phase-1/Pure3Phase1.jar,loop,Yes,Verified OK,
Singapore2,Singapore2,/home/benchmarking/termination-crafted/Singapore-2/Singapore2.jar,loop,Yes,Verified OK,
Stockholm1,Stockholm1,/home/benchmarking/termination-crafted/Stockholm-1/Stockholm1.jar,loop,Yes,Verified OK,
TelAvivAmirMinimum,TelAvivAmirMinimum,/home/benchmarking/termination-crafted/TelAviv-Amir-Minimum/TelAvivAmirMinimum.jar,loop,Yes,Verified OK,
Thun2,Thun2,/home/benchmarking/termination-crafted/Thun-2/Thun2.jar,loop,Yes,Verified OK,
ToulouseBranchesToLoop2,ToulouseBranchesToLoop2,/home/benchmarking/termination-crafted/Toulouse-BranchesToLoop-2/ToulouseBranchesToLoop2.jar,loop,No,ReLU Limit,
ToulouseMultiBranchesToLoop2,ToulouseMultiBranchesToLoop2,/home/benchmarking/termination-crafted/Toulouse-MultiBranchesToLoop-2/ToulouseMultiBranchesToLoop2.jar,loop,Yes,Verified OK,
Waldkirch,Waldkirch,/home/benchmarking/termination-crafted/Waldkirch/Waldkirch.jar,loop,Yes,Verified OK,
WhileFalse,WhileFalse,/home/benchmarking/termination-crafted/WhileFalse/WhileFalse.jar,loop,,Pending,
easy1,easy1,/home/benchmarking/termination-crafted/easy1/easy1.jar,loop,Yes,Verified OK,
easy22,easy22,/home/benchmarking/termination-crafted/easy2-2/easy22.jar,loop,Yes,Verified OK,
Bresenham1botht,Bresenham1botht,/home/benchmarking/termination-nla/bresenham1-both-t/Bresenham1botht.jar,loop,Yes,Verified OK,
Cohencu1botht,Cohencu1botht,/home/benchmarking/termination-nla/cohencu1-both-t/Cohencu1botht.jar,loop,Yes,Verified OK,
Cohencu2botht,Cohencu2botht,/home/benchmarking/termination-nla/cohencu2-both-t/Cohencu2botht.jar,loop,Yes,Verified OK,
Cohencu3botht,Cohencu3botht,/home/benchmarking/termination-nla/cohencu3-both-t/Cohencu3botht.jar,loop,Yes,Verified OK,
Cohencu4botht,Cohencu4botht,/home/benchmarking/termination-nla/cohencu4-both-t/Cohencu4botht.jar,loop,Yes,Verified OK,
Cohencu5botht,Cohencu5botht,/home/benchmarking/termination-nla/cohencu5-both-t/Cohencu5botht.jar,loop,Yes,Verified OK,
Cohencu6botht,Cohencu6botht,/home/benchmarking/termination-nla/cohencu6-both-t/Cohencu6botht.jar,loop,Yes,Verified OK,
Cohencu7botht,Cohencu7botht,/home/benchmarking/termination-nla/cohencu7-both-t/Cohencu7botht.jar,loop,Yes,Verified OK,
Dijkstra1botht,Dijkstra1botht,/home/benchmarking/termination-nla/dijkstra1-both-t/Dijkstra1botht.jar,loop,Yes,Verified OK,
Dijkstra2botht,Dijkstra2botht,/home/benchmarking/termination-nla/dijkstra2-both-t/Dijkstra2botht.jar,loop,Yes,Verified OK,
Dijkstra3botht,Dijkstra3botht,/home/benchmarking/termination-nla/dijkstra3-both-t/Dijkstra3botht.jar,loop,Yes,Verified OK,
